id;certamen;origen;fecha;anio;cerveceria;cerveza_ganadora;estilo;premio;medalla_base;tipo_premio;subcategoria;ciudad;pais
2329;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Cervejaria Musaranho;Musaranho Czech Dark Lager;Dark Lager;Plata;Plata;Beer;Style; - ;Brasil
2330;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Naipe Brew;Dark Lager;Dark Lager;Bronce;Bronce;Beer;Style; - ;Brasil
2331;World Beer Awards. Fase local - Chile;Nacional;2025-05;2025;Austral;Yagan Dark;Dark Lager;Country Winner - Oro;Oro;Beer;Pais; - ;Chile
2332;World Beer Awards. Fase local - Chile;Nacional;2025-05;2025;Puesco;La Más Lager;Dark Lager;Bronce;Bronce;Beer;Style; - ;Chile
2333;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Steamworks Brewing Co.;Night Train;Dark Lager;Oro;Oro;Beer;Style;Durango;EEUU
2334;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Fiction Beer Co.;Alternate Present;Dark Lager;Plata;Plata;Beer;Style;Denver;EEUU
2335;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Chainline Brewing Co.;?erné;Dark Lager;Bronce;Bronce;Beer;Style;Kirkland;EEUU
2336;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Silver City Brewery;Wonderland;Dark Lager;Oro;Oro;Beer;Style;Bremerton;EEUU
2337;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Hatz-Moninger Brauhaus;Moninger Bertold Bock Dunkel;Dark Lager;Plata;Plata;Beer;Style;Karlsruhe;Alemania
2338;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Rip Current Brewing;Breakline Bock;Dark Lager;Bronce;Bronce;Beer;Style;San Marcos;EEUU
2339;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Revelry Brewing Co.;Smooth Like Jazz;Dark Lager;Oro;Oro;Beer;Style;Charleston;EEUU
2340;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Kansas City Bier Co.;Winterbock;Dark Lager;Plata;Plata;Beer;Style;Kansas City;EEUU
2341;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Lost Forty Brewing;Double Love Honey;Dark Lager;Bronce;Bronce;Beer;Style;Little Rock;EEUU
2342;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Pabst Brewing Co.;Old Style Lager;Dark Lager;Oro;Oro;Beer;Style;Milwaukee;EEUU
2343;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Pabst Brewing Co.;Pabst Blue Ribbon;Dark Lager;Plata;Plata;Beer;Style;Milwaukee;EEUU
2344;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Miller Brewing Co.;Hamm’s;Dark Lager;Bronce;Bronce;Beer;Style;Chicago;EEUU
2345;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Brooklyn Brewery;Brooklyn Lager;Dark Lager;Oro;Oro;Beer;Style;Brooklyn;EEUU
2346;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Iowa Brewing Co.;Tragedy of the Common;Dark Lager;Plata;Plata;Beer;Style;Cedar Rapids;EEUU
2347;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;O.H.S.O. Brewery - Paradise Valley;89Ale;Dark Lager;Bronce;Bronce;Beer;Style;Phoenix;EEUU
2348;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Breakside Brewery & Taproom;Breakside Lunch Break ISA;Dark Lager;Oro;Oro;Beer;Style;Milwaukie;EEUU
2349;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Nail Brewing;Nail VPA;Dark Lager;Plata;Plata;Beer;Style;Perth;Australia
2350;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Vail Brewing Co.;Pete’s Stash Pale;Dark Lager;Bronce;Bronce;Beer;Style;Avon;EEUU
2351;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Chuckanut Brewery;Chuckanut Kolsch Style;Dark Lager;Oro;Oro;Beer;Style;Bellingham;EEUU
2352;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;American Harvest Brewpub at Schoolcraft College;American Harvest Kolsch;Dark Lager;Plata;Plata;Beer;Style;Livonia;EEUU
2353;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Cerberus Brewing Co.;NBD Kolsch;Dark Lager;Bronce;Bronce;Beer;Style;Colorado Springs;EEUU
2354;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Altitude Chophouse and Brewery;Altitude Alt;Dark Lager;Oro;Oro;Beer;Style;Laramie;EEUU
2355;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Devils Backbone Brewing Co. - Basecamp;Alt Bier;Dark Lager;Plata;Plata;Beer;Style;Roseland;EEUU
2356;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Altstadt Brewery;Altstadt Alt;Dark Lager;Bronce;Bronce;Beer;Style;Fredericksburg;EEUU
2357;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;10 Barrel Brewing Co. - Bend;Baywindow;Dark Lager;Oro;Oro;Beer;Style;Bend;EEUU
2358;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Revelation Craft Brewing Co.;Peach Berliner Weisse;Dark Lager;Plata;Plata;Beer;Style;Rehoboth Beach;EEUU
2359;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Brewery Rex;Raspberry Rickey;Dark Lager;Bronce;Bronce;Beer;Style;Fullerton;EEUU
2360;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Ravens Brewing Co.;Corvus Lingonberry Lime Gose;Dark Lager;Oro;Oro;Beer;Style;Abbotsford;Canadá
2361;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Casa Bruja Brewing Co.;Gose Frambuesa;Dark Lager;Plata;Plata;Beer;Style;Panama City;Panamá
2362;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;SingleSpeed Brewing Co.;Ring Around the Gose;Dark Lager;Bronce;Bronce;Beer;Style;Waterloo;EEUU
2363;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Big Bend Brewing Co.;National Park Hefeweizen;Dark Lager;Oro;Oro;Beer;Style;Alpine;EEUU
2364;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;COEDO Brewery;COEDO Shiro;Dark Lager;Plata;Plata;Beer;Style;Kawagoe;Japón
2365;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Hirsch-Brauerei Honer;Hirsch Hefe Weisse;Dark Lager;Bronce;Bronce;Beer;Style;Wurmlingen;Alemania
2366;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Saint Arnold Brewing Co.;Saint Arnold Weedwacker;Dark Lager;Oro;Oro;Beer;Style;Houston;EEUU
2367;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Brauerei Gold Ochsen;Kristallweizen;Dark Lager;Plata;Plata;Beer;Style;Ulm;Alemania
2368;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Brauerei Wilhelm Krieger;Krieger Urweisse;Dark Lager;Bronce;Bronce;Beer;Style;Landau an der Isar;Alemania
2369;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Fat Heads Brewery - North Olmsted;AlpenGlow;Dark Lager;Oro;Oro;Beer;Style;North Olmstead;EEUU
2370;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Schneider Weisse G. Schneider & Sohn;Schneider Weisse TAP 6 Mein Aventinus;Dark Lager;Plata;Plata;Beer;Style;Kelheim;Alemania
2371;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Brauerei Michael Plank;Plank Heller Weizenbock;Dark Lager;Bronce;Bronce;Beer;Style;Laaber;Alemania
2372;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Camden Town Brewery;Camden Gentlemans Wit;Dark Lager;Oro;Oro;Beer;Style;London;Reino Unido
2373;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Avery Brewing Co.;White Rascal;Dark Lager;Plata;Plata;Beer;Style;Boulder;EEUU
2374;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;InBev Belgium;Hoegaarden White;Dark Lager;Bronce;Bronce;Beer;Style;Hoegaarden;Bélgica
2375;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;The Tank Brewing Co.;La Finca Miami;Dark Lager;Oro;Oro;Beer;Style;Miami;EEUU
2376;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Amsterdam Brewing Co.;Bord du Lac;Dark Lager;Plata;Plata;Beer;Style;Toronto;Canadá
2377;World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Karl Strauss Brewing Co. - 4S Ranch;Farmhouse;Dark Lager;Bronce;Bronce;Beer;Style;San Diego;EEUU
2378;BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Big Jack Cervejaria;Old Tavern;Dark Mild;Bronce;Bronce;Beer;Style; - ;Brasil
2379;BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Cervejaria Divino Malte;Dom Rodrigo;Dark Mild;Oro;Oro;Beer;Style; - ;Brasil
2380;BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Darling Brew;Break Free Gluten-Free Red Ale;Dark Mild;Plata;Plata;Beer;Style;Sudáfrica;Sudáfrica
2381;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Bragdy Jones&jenkins;Diodd Fain;Dark Mild;Bronce;Bronce;Beer;Style; - ;Argentina
2382;CCA Copa Cervezas America - Chile;Nacional;2017-10;2017;Cervejaria Dortmund;Nostradamus;Dark Mild;Bronce;Bronce;Beer;Style; - ;Brasil
2383;CCA Copa Cervezas America - Chile;Nacional;2024-10;2024;Cervejaria Landel;LANDEL LITTLE PORTER;Dark Mild;Oro;Oro;Beer;Style; - ;Brasil
2384;CCA Copa Cervezas America - Chile;Nacional;2017-10;2017;Hops;STOUT HOPS;Dark Mild;Plata;Plata;Beer;Style; - ;Perú
2385;CCA Copa Cervezas America - Chile;Nacional;2017-10;2017;Independentzia;Stout;Dark Mild;Bronce;Bronce;Beer;Style; - ;Chile
2386;CCA Copa Cervezas America - Chile;Nacional;2016-09;2016;Treintaycinco - Fabrica De S;Mamacandela;Dark Mild;Bronce;Bronce;Beer;Style; - ;Costa Rica
2387;CCA Copa Cervezas America - Chile;Nacional;2017-10;2017;Treintaycinco - Fabrica De S;Mamacandela;Dark Mild;Bronce;Bronce;Beer;Style; - ;Costa Rica
2388;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Cervejaria Divino Malte;Dom Rodrigo;Dark Mild;Bronce;Bronce;Beer;Style; - ;Brasil
2389;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Irmandade Cervejaria;Delicatessen Avelã Stout;Dark Mild;Oro;Oro;Beer;Style; - ;Brasil
2390;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Landel;Little Porter;Dark Mild;Plata;Plata;Beer;Style; - ;Brasil
2391;Brussels Beer Challenge;Bélgica;2025-10;2025;Uiltje Brewing Company BV;#Roastme;Dark/Black IPA;Oro Medal;Oro;Beer;BeerStyle;;Países Bajos
2392;Brussels Beer Challenge;Bélgica;2018-10;2018;Microbrasserie Le Trou du diable;[EP°K];Dark/Black IPA;Silver Medal;Plata;Beer;BeerStyle;;Canadá
2393;Brussels Beer Challenge;Bélgica;2018-10;2018;Kinnegar Brewing;Black Bucket;Dark/Black IPA;Gold Medal;Oro;Beer;BeerStyle;;Irlanda
2394;Brussels Beer Challenge;Bélgica;2019-10;2019;Kinnegar Brewing;Black Bucket;Dark/Black IPA;Bronze Medal;Bronce;Beer;BeerStyle;;Irlanda
2395;Brussels Beer Challenge;Bélgica;2020-10;2020;Kinnegar Brewing;Black Bucket;Dark/Black IPA;Gold Medal;Oro;Beer;BeerStyle;;Irlanda
2396;Brussels Beer Challenge;Bélgica;2024-10;2024;Kinnegar Brewing;Black Bucket;Dark/Black IPA;Gold Medal;Oro;Beer;BeerStyle;;Irlanda
2397;Brussels Beer Challenge;Bélgica;2022-10;2022;Stannis Cervejaria;Black Dandara;Dark/Black IPA;Gold Medal;Oro;Beer;BeerStyle;;Brasil
2398;Brussels Beer Challenge;Bélgica;2023-10;2023;IV:uur Bierbrouwerij;Blauwst'rig;Dark/Black IPA;Silver Medal;Plata;Beer;BeerStyle;;Países Bajos
2399;Brussels Beer Challenge;Bélgica;2020-10;2020;Cervejaria Colorado;Colorado Black Indica;Dark/Black IPA;Bronze Medal;Bronce;Beer;BeerStyle;;Brasil
2400;Brussels Beer Challenge;Bélgica;2022-10;2022;Brew Bay S.n.c.;DarQside;Dark/Black IPA;Bronze Medal;Bronce;Beer;BeerStyle;;Italia
2401;Brussels Beer Challenge;Bélgica;2021-10;2021;Brasserie FP;La Dunoise - Black IPA;Dark/Black IPA;Bronze Medal;Bronce;Beer;BeerStyle;;Francia
2402;Brussels Beer Challenge;Bélgica;2018-10;2018;Nbeer Craft Brewing Co.;Ligui Black IPA;Dark/Black IPA;Bronze Medal;Bronce;Beer;BeerStyle;;China
2403;Brussels Beer Challenge;Bélgica;2021-10;2021;Alaskan Brewing Company;Midnight Haze IPA;Dark/Black IPA;Silver Medal;Plata;Beer;BeerStyle;;EEUU
2404;Brussels Beer Challenge;Bélgica;2020-10;2020;Obaa Sprl;Obaa Three;Dark/Black IPA;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
2405;Brussels Beer Challenge;Bélgica;2022-10;2022;Astesana SAS di Astesana Ivano & C. Società Agricola;Regeneration;Dark/Black IPA;Silver Medal;Plata;Beer;BeerStyle;;Italia
2406;Brussels Beer Challenge;Bélgica;2023-10;2023;Birrificio della Granda - Astesana SRL Società Agricola;Regeneration;Dark/Black IPA;Bronze Medal;Bronce;Beer;BeerStyle;;Italia
2407;Brussels Beer Challenge;Bélgica;2019-10;2019;Brasserie de la Pleine Lune;Sabro Laser;Dark/Black IPA;Bronze Medal;Bronce;Beer;BeerStyle;;Francia
2408;Brussels Beer Challenge;Bélgica;2023-10;2023;Bierbrouwerij Wentersch;Zwarte Magie;Dark/Black IPA;Gold Medal;Oro;Beer;BeerStyle;;Países Bajos
2409;Brussels Beer Challenge;Bélgica;2025-10;2025;Quarter Celtic Brewpub;A Clean Pair of Schwarz;Dark/Dunkel (including Schwarzbier);Bronce Medal;Bronce;Beer;BeerStyle;;EEUU
2410;Brussels Beer Challenge;Bélgica;2018-10;2018;Brotas Beer Industria de Bebidas LTDA;Brotas Beer Schwarzbier;Dark/Dunkel (including Schwarzbier);Bronze Medal;Bronce;Beer;BeerStyle;;Brasil
2411;Brussels Beer Challenge;Bélgica;2024-10;2024;Brotas Beer Industria de Bebidas LTDA;Brotas Beer Schwarzbier;Dark/Dunkel (including Schwarzbier);Silver Medal;Plata;Beer;BeerStyle;;Brasil
2412;Brussels Beer Challenge;Bélgica;2019-10;2019;Tradicní Pivovar v Rakovníku, a.s.;Cernovar Cerné;Dark/Dunkel (including Schwarzbier);Bronze Medal;Bronce;Beer;BeerStyle;;Czechia
2413;Brussels Beer Challenge;Bélgica;2021-10;2021;Hangzhou Cheerday Brewery Co., Ltd.;Cheerday Dark/Dunkel;Dark/Dunkel (including Schwarzbier);Bronze Medal;Bronce;Beer;BeerStyle;;China
2414;Brussels Beer Challenge;Bélgica;2024-10;2024;Butcher's Tears;De Fluiter;Dark/Dunkel (including Schwarzbier);Bronze Medal;Bronce;Beer;BeerStyle;;Países Bajos
2415;Brussels Beer Challenge;Bélgica;2020-10;2020;Lakefront Brewery;Eastside Dark;Dark/Dunkel (including Schwarzbier);Silver Medal;Plata;Beer;BeerStyle;;EEUU
2416;Brussels Beer Challenge;Bélgica;2021-10;2021;Beha Brewing Company;Gaudio;Dark/Dunkel (including Schwarzbier);Bronze Medal;Bronce;Beer;BeerStyle;;Italia
2417;Brussels Beer Challenge;Bélgica;2022-10;2022;Gooische Bierbrouwerij;Gooisch Zwart;Dark/Dunkel (including Schwarzbier);Bronze Medal;Bronce;Beer;BeerStyle;;Países Bajos
2418;Brussels Beer Challenge;Bélgica;2023-10;2023;Gooische Bierbrouwerij;Gooisch Zwart;Dark/Dunkel (including Schwarzbier);Gold Medal;Oro;Beer;BeerStyle;;Países Bajos
2419;Brussels Beer Challenge;Bélgica;2024-10;2024;Gooische Bierbrouwerij;Gooisch Zwart;Dark/Dunkel (including Schwarzbier);Silver Medal;Plata;Beer;BeerStyle;;Países Bajos
2420;Brussels Beer Challenge;Bélgica;2018-10;2018;Hausen Bier;Hausen Bier Dunkel;Dark/Dunkel (including Schwarzbier);Silver Medal;Plata;Beer;BeerStyle;;Brasil
2421;Brussels Beer Challenge;Bélgica;2023-10;2023;Carlsberg Brewery (Anhui) Company Limited;Jing A - Black Velvet;Dark/Dunkel (including Schwarzbier);Bronze Medal;Bronce;Beer;BeerStyle;;China
2422;Brussels Beer Challenge;Bélgica;2021-10;2021;Microbrasserie Le Trou du diable;La Nuit Éternelle;Dark/Dunkel (including Schwarzbier);Silver Medal;Plata;Beer;BeerStyle;;Canadá
2423;Brussels Beer Challenge;Bélgica;2025-10;2025;Birrificio Leumann SRL;La Tenebrosa;Dark/Dunkel (including Schwarzbier);Plata Medal;Plata;Beer;BeerStyle;;Italia
2424;Brussels Beer Challenge;Bélgica;2021-10;2021;China Resources Snow Breweries Co., Ltd;Lovibond Dark Beer;Dark/Dunkel (including Schwarzbier);Gold Medal;Oro;Beer;BeerStyle;;China
2425;Brussels Beer Challenge;Bélgica;2022-10;2022;China Resources Snow Breweries Co., Ltd;Lovibond Dark Beer;Dark/Dunkel (including Schwarzbier);Gold Medal;Oro;Beer;BeerStyle;;China
2426;Brussels Beer Challenge;Bélgica;2020-10;2020;Brasserie de la Pleine Lune;Marilune Moonroe;Dark/Dunkel (including Schwarzbier);Gold Medal;Oro;Beer;BeerStyle;;Francia
2427;Brussels Beer Challenge;Bélgica;2023-10;2023;Birrificio Estense;Munich B.E.;Dark/Dunkel (including Schwarzbier);Silver Medal;Plata;Beer;BeerStyle;;Italia
2428;Brussels Beer Challenge;Bélgica;2025-10;2025;Birrificio Estense;Nada Mas;Dark/Dunkel (including Schwarzbier);Bronce Medal;Bronce;Beer;BeerStyle;;Italia
2429;Brussels Beer Challenge;Bélgica;2023-10;2023;Praxis - Cervejas de Coimbra, Lda;Onyx;Dark/Dunkel (including Schwarzbier);Bronze Medal;Bronce;Beer;BeerStyle;;Portugal
2430;Brussels Beer Challenge;Bélgica;2022-10;2022;Stannis Cervejaria;Ororo Dunkel;Dark/Dunkel (including Schwarzbier);Silver Medal;Plata;Beer;BeerStyle;;Brasil
2431;Brussels Beer Challenge;Bélgica;2019-10;2019;4 Pines Brewing Company;Schwarzbier;Dark/Dunkel (including Schwarzbier);Bronze Medal;;Beer;BeerStyle;;Australia
2432;Brussels Beer Challenge;Bélgica;2020-10;2020;Oskar Blues Brewery;Slow Chill Dunkel Lager;Dark/Dunkel (including Schwarzbier);Bronze Medal;Bronce;Beer;BeerStyle;;EEUU
2433;Brussels Beer Challenge;Bélgica;2022-10;2022;Spring Valley Brewery;Spring Valley Afterdark;Dark/Dunkel (including Schwarzbier);Silver Medal;Plata;Beer;BeerStyle;;Japón
2434;Brussels Beer Challenge;Bélgica;2023-10;2023;Privatbrauerei Waldhaus Joh. Schmid GmbH;Waldhaus Ohne Filter Dunkel;Dark/Dunkel (including Schwarzbier);Silver Medal;Plata;Beer;BeerStyle;;Alemania
2435;Brussels Beer Challenge;Bélgica;2025-10;2025;Brotas Beer Industria de Bebidas LTDA;Brotas Beer Schwarzbier;Dark/Dunkel (including Schwarzbier)Best Brazilian Beer 2025;Best Brazilian Beer;Oro;Beer;BeerPais;;Brasil
2436;Brussels Beer Challenge;Bélgica;2018-10;2018;Cervejaria Bierbaum;Bierbaum Dunkel;Dark/Dunkel (including Schwarzbier)Both American Revelation 2018;Gold Medal;Oro;Beer;BeerStyle;;Brasil
2437;World Beer Cup (WBC) - EEUU;Internacional;2025-04;2025;West Coast Brewing;The Gateway;Dessert or Pastry Stout;Oro;Oro;Beer;Style;Shizuoka;Japón
2438;World Beer Cup (WBC) - EEUU;Internacional;2025-04;2025;Hackamore Brewing Co.;Saturday Morning Cartoons;Dessert or Pastry Stout;Plata;Plata;Beer;Style;Chanhassen;EEUU
2439;World Beer Cup (WBC) - EEUU;Internacional;2025-04;2025;Moksa Brewing Co.;Happy Almonds;Dessert or Pastry Stout;Bronce;Bronce;Beer;Style;Rocklin;EEUU
2440;World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;Bull & Bush Brewery;Kauai Pie;Dessert or Pastry Stout;Oro;Oro;Beer;Style;Denver;EEUU
2441;World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;Hi-Wire Brewing Co.;Churro 10W-40 Imperial Stout;Dessert or Pastry Stout;Plata;Plata;Beer;Style;Asheville;EEUU
2442;World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;Beervana Brewing Co.;Dark Layers Pastry Stout;Dessert or Pastry Stout;Bronce;Bronce;Beer;Style;Yeongdeungpo-gu;Corea del Sur
2443;CCA Copa Cervezas America - Chile;Nacional;2025-10;2025;Jotkeis;Cerveza Libertadores;Dessert Stout or Pastry Stout;Oro;Oro;Beer;Style; - ;México
2444;Copa Capital Cervecera - Chile;Nacional;2025-07;2025;Jester;Biciclo Citra - Mosaic;Doble Hazy IPA;Bronce;Bronce;Beer;Style;Santiago;Chile
2445;Copa Capital Cervecera - Chile;Nacional;2025-07;2025;Prócer;Moment;Doble Hazy IPA;Plata;Plata;Beer;Style;Chillan;Chile
2446;Copa Capital Cervecera - Chile;Nacional;2025-07;2025;Cerveza Mauco;Pololos;Doble IPA;Bronce;Bronce;Beer;Style;Viña del Mar;Chile
2447;Copa Capital Cervecera - Chile;Nacional;2025-07;2025;Tropera;Ranita De Darwin;Doble Ipa;Plata;Plata;Beer;Style;Puerto Varas;Chile
2448;BioBio Beer Cup - Chile;Nacional;2025-12;2025;Bordelago;Kondor und Adler;Doppelbock;Plata;Plata;Beer;Style;Puerto Varas;Chile
2449;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Cervejaria Walfanger;Walfänger Doppel Bock;Doppelbock;Bronce;Bronce;Beer;Style; - ;Brasil
2450;CCA Copa Cervezas America - Chile;Nacional;2016-09;2016;Kunstmann;Cerveza Kunstmann Doppel-Bock;Doppelbock;Bronce;Bronce;Beer;Style; - ;Chile
2451;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Samuel Adams;Samuel Adams Double Bock;Doppelbock;Plata;Plata;Beer;Style; - ;EEUU
2452;CCA Copa Cervezas America - Chile;Nacional;2019-10;2019;Samuel Adams;Samuel Adams Double Bock;Doppelbock;Oro;Oro;Beer;Style; - ;EEUU
2453;CCA Copa Cervezas America - Chile;Nacional;2025-10;2025;Tubinator;Tubinger;Doppelbock;Oro;Oro;Beer;Style;Pirque;Chile
2454;CCA Copa Cervezas America - Etapa Nac.- Chile;Nacional;2022-10;2022;Cerveceria Rural;La que te dije...;Doppelbock;Oro;Oro;Beer;Style; - ;Chile
2455;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Cervejaria Brusque;Doppelbock;Doppelbock;Bronce;Bronce;Beer;Style; - ;Brasil
2456;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Cervejaria Sarau;Doppelbock Sarau;Doppelbock;Plata;Plata;Beer;Style; - ;Brasil
2457;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Pedrosa Craft;Andaluzita;Doppelbock;Oro;Oro;Beer;Style; - ;Brasil
2458;Copa Capital Cervecera - Chile;Nacional;2025-07;2025;Maltok;Cholga Doppel;Doppelbock;Best Style - Experimental;Oro;Beer;Style;Puerto Natales;Chile
2459;Copa Latinoamericana de Cervezas Artesanales - Peru;Internacional;2025-10;2025;Santina (Colab. Con Dr Beer);Se desinfla el muñeco;Doppelbock;Oro;Oro;Beer;Style; - ;Argentina
2460;Copa Patagónica de Cervezas - Argentina;Internacional;2025-10;2025;Experimento 163A;David Riveros Strange;Doppelbock;Oro;Oro;Beer;Style;Punta Arenas;Chile
2461;Copa Tayrona - Colombia;Internacional;2025-07;2025;Licorera Española;Kúspide Xx;Doppelbock;Oro;Oro;Beer;Style; - ;Colombia
2462;Copa Tayrona - Colombia;Internacional;2025-07;2025;Meridiano Quinto;Doppelbock;Doppelbock;Bronce;Bronce;Beer;Style;Jacinto Arauz;Argentina
2463;Copa Tayrona - Colombia;Internacional;2025-07;2025;Wiser Br. Co.;Doppelbock;Doppelbock;Plata;Plata;Beer;Style;Medellin;Colombia
2464;Mitad del Mundo - Ecuador;Internacional;2025-07;2025;Brothermann;Doppelbock;Doppelbock;Oro;Oro;Beer;Style;Quito;Ecuador
2465;Mitad del Mundo - Ecuador;Internacional;2025-07;2025;The Moon Micro Br.;Par de Cabrones;Doppelbock;Plata;Plata;Beer;Style;Cochabamba;Bolivia
2466;Copa Guarani De Cervezas - Paraguay;Internacional;2025-08;2025;Levurt;Golden;Dorada Pampeana;Bronce;Bronce;Beer;Style;Paso De La Patria;Argentina
2467;Cervecera del Pacífico - Mexico;Internacional;2025-03;2025;Santo Negro Wb;HELLES CUATA;Dortmunder Export;Bronce;Bronce;Beer;Style;Chihuahua;México
2468;BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Haenschbier;Haenschbier Dortmunder;Dortmunder Export;Bronce;Bronce;Beer;Style; - ;Brasil
2469;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Cervejaria Flagra;Curicaca Gold;Dortmunder Export;Bronce;Bronce;Beer;Style; - ;Brasil
2470;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Cervejaria Imigração 1824;Sin info en la Copa;Dortmunder Export;Oro;Oro;Beer;Style; - ;Brasil
2471;Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Opa Bier;Export Lager;Dortmunder Export;Plata;Plata;Beer;Style; - ;Brasil
2472;CCA Copa Cervezas America - Chile;Nacional;2025-10;2025;Punto Medio Lager;Cervecería Punto Medio;Dortmunder Export;Oro;Oro;Beer;Style; - ;México
2473;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Bierhaus Brew. Co.;Imperial IPA;Double Ipa;Plata;Plata;Beer;Style; - ;Argentina
2474;Brussels Beer Challenge;Bélgica;2022-10;2022;Tian Yufan;100 Hops Hidden Deep IPA;Double Ipa;Gold Medal;Oro;Beer;BeerStyle;;China
2475;Brussels Beer Challenge;Bélgica;2018-10;2018;Wormtown Brewery;Be Hoppy;Double Ipa;Bronze Medal;Bronce;Beer;BeerStyle;;EEUU
2476;Brussels Beer Challenge;Bélgica;2020-10;2020;No-Li Brewhouse;Born and Raised;Double Ipa;Gold Medal;Oro;Beer;BeerStyle;;EEUU
2477;Brussels Beer Challenge;Bélgica;2022-10;2022;Browar Trzech Kumpli Sp . z o.o.;Califia;Double Ipa;Silver Medal;Plata;Beer;BeerStyle;;Polonia
2478;Brussels Beer Challenge;Bélgica;2020-10;2020;Mastri Birrai Umbri Società Agricola;California West Coast IPA;Double Ipa;Gold Medal;Oro;Beer;BeerStyle;;Italia
2479;Brussels Beer Challenge;Bélgica;2021-10;2021;Damm;Complot IPA;Double Ipa;Bronze Medal;Bronce;Beer;BeerStyle;;España
2480;Brussels Beer Challenge;Bélgica;2023-10;2023;Uiltje Brewing Company;Craft Beer Cookout;Double Ipa;Silver Medal;Plata;Beer;BeerStyle;;Países Bajos
2481;Brussels Beer Challenge;Bélgica;2021-10;2021;Reuben's Brews;Crikey IPA;Double Ipa;Silver Medal;Plata;Beer;BeerStyle;;EEUU
