id;certamen;origen;fecha;anio;cerveceria;cerveza_ganadora;estilo;premio;medalla_base;tipo_premio;subcategoria;ciudad;pais
34;CCA Copa Cervezas America - Chile;Nacional;2017-10;2017;Minga; - ; - ;Best Brew - Argentina;Oro;Brew.;Pais; - ;Argentina
35;CCA Copa Cervezas America - Chile;Nacional;2023-10;2023;Nothus; - ; - ;Best Brew - Chile;Oro;Brew.;Pais; - ;Chile
36;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Okcidenta; - ; - ;Best Brew - Argentina;Oro;Brew.;Pais; - ;Argentina
37;CCA Copa Cervezas America - Chile;Nacional;2019-10;2019;Okcidenta; - ; - ;Best Brew - Oro - Argentina;Oro;Brew.;Pais; - ;Argentina
38;CCA Copa Cervezas America - Chile;Nacional;2019-10;2019;Pedal Haus Brew.; - ; - ;Best Brew - Oro - EEUU;Oro;Brew.;Pais; - ;EEUU
39;CCA Copa Cervezas America - Chile;Nacional;2023-10;2023;Philip Mead; - ; - ;Best Brew - Bronce - Chile;Bronce;Brew.;Pais; - ;Brasil
40;CCA Copa Cervezas America - Chile;Nacional;2023-10;2023;Philip Mead; - ; - ;Best Brew - Brasil;Oro;Brew.;Pais; - ;Brasil
41;CCA Copa Cervezas America - Chile;Nacional;2016-09;2016;Tres Medallas De Oro, Una De Plata Y Una De Bronce; - ; - ;Best Brew - EEUU;Oro;Brew.;Pais; - ;EEUU
42;CCA Copa Cervezas America - Chile;Nacional;2016-09;2016;Tres Medallas De Oro, Una De Plata Y Una De Bronce; - ; - ;Best Brew - EEUU;Oro;Brew.;Pais; - ;EEUU
43;CCA Copa Cervezas America - Chile;Nacional;2015-09;2015;Tubinger; - ; - ;Best Brew - Chile;Oro;Brew.;Pais; - ;Chile
44;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Tubinger; - ; - ;Best Brew - Chile;Oro;Brew.;Pais; - ;Chile
45;CCA Copa Cervezas America - Chile;Nacional;2015-09;2015;Tupiniquim; - ; - ;Best Brew - EEUU;Oro;Brew.;Pais; - ;Brasil
46;CCA Copa Cervezas America - Chile;Nacional;2016-09;2016;Una Medalla De 0ro Y Una De Plata; - ; - ;Best Brew - Chile;Oro;Brew.;Pais; - ;Chile
47;CCA Copa Cervezas America - Chile;Nacional;2016-09;2016;Una Medalla De Oro; - ; - ;Best Brew - Mexico;Oro;Brew.;Pais; - ;México
48;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Veza Sur Brew. Co.; - ; - ;Best Brew - EEUU;Oro;Brew.;Pais; - ;EEUU
