certamen;origen;fecha;anio;cerveceria;cerveza_ganadora;estilo;premio;medalla_base;tipo_premio;subcategoria;ciudad;pais
World Beer Cup (WBC) - EEUU;Internacional;2014-04;2014;The Rare Barrel;Shadows of Their Eyes;Smoke Beer;Bronce;Bronce;Beer;Style;Berkeley;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2012-04;2012;The SandLot;Florhosen;Coffee Beer;Oro;Oro;Beer;Style;Denver;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;The Sandlot Brewery at Coors Field;18022/42;Smoke Beer;Bronce;Bronce;Beer;Style;Denver;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2012-04;2012;The Spoetzl Brewery;Shiner Bock;Smoke Beer;Plata;Plata;Beer;Style;Shiner;EEUU
CCA Copa Cervezas America - Chile;Nacional;2017-10;2017;The Tank Brew. Co.;Frank The Tank;American Porter;Plata;Plata;Beer;Style; - ;EEUU
CCA Copa Cervezas America - Chile;Nacional;2019-10;2019;The Tank Brew. Co.;Duplicity;Belgian Dubbel;Plata;Plata;Beer;Style; - ;EEUU
CCA Copa Cervezas America - Chile;Nacional;2019-10;2019;The Tank Brew. Co.;Duplicity;Brett Beer;Best Beer - Bronce - EEUU;Bronce;Beer;Pais; - ;EEUU
CCA Copa Cervezas America - Chile;Nacional;2019-10;2019;The Tank Brew. Co.;La Finca Miami;Saison;Plata;Plata;Beer;Style; - ;EEUU
CCA Copa Cervezas America - Chile;Nacional;2023-10;2023;The Tank Brew. Co.;La Finca Miami;Saison;Plata;Plata;Beer;Style; - ;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;The Tank Brewing Co.;La Finca Miami;Dark Lager;Oro;Oro;Beer;Style;Miami;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;The Tap Beer Co.;Kill the Lights;Scotch Ale;Bronce;Bronce;Beer;Style;Bloomington;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;The Tap Brewery;Kill the Lights;Oatmeal Stout;Plata;Plata;Beer;Style;Bloomington;EEUU
